Label,curve,rep1,rep2,avg abs,exp conc,logconc,,,
Std 1,std,0.153,0.13,0.1415,10000,4,,,
Std 10,std,0.802,0.766,0.784,19.53125,1.290730039,,,
Std 2,std,0.178,0.167,0.1725,5000,3.698970004,,,
Std 3,std,0.238,0.228,0.233,2500,3.397940009,,,
Std 4,std,0.304,0.301,0.3025,1250,3.096910013,,,
Std 5,std,0.416,0.427,0.4215,625,2.795880017,,,
Std 6,std,0.554,0.614,0.584,312.5,2.494850022,,,
Std 7,std,0.568,0.627,0.5975,156.25,2.193820026,,,
Std 8,std,0.673,0.628,0.6505,78.125,1.89279003,,,
Std 9,std,0.642,0.834,0.738,39.0625,1.591760035,,,
Unk 1,samp,0.114,0.12,0.117,500,2.698970004,,,
Unk 2,samp,0.17,0.163,0.1665,250,2.397940009,,,
Unk 3,samp,0.217,0.228,0.2225,125,2.096910013,,,
Unk 4,samp,0.306,0.3,0.303,62.5,1.795880017,,,
Unk 5,samp,0.359,0.397,0.378,31.25,1.494850022,,,
Unk 6,samp,0.487,0.522,0.5045,15.625,1.193820026,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
