sampleID,poolwStd_quant,poolwStd_expected,pctDiff
pool_wStd1,5339.479,5132.556,4.031578029
pool_wStd1,5365.986,5132.556,4.548026363
pool_wStd2,2702.133,2632.556,2.642944727
pool_wStd2,2643.548,2632.556,0.417540975
pool_wStd3,1275.541,1382.556,7.740373627
pool_wStd3,1376.621,1382.556,0.429277367
pool_wStd4,759.373,757.556,0.239850255
pool_wStd4,848.255,757.556,11.97258024
pool_wStd5,430.76,445.056,3.21218004
pool_wStd5,421.689,445.056,5.250350518
pool_wStd6,277.252,288.806,4.000609406
pool_wStd6,254.296,288.806,11.94919773
pool_wStd7,215.024,210.681,2.061410379
pool_wStd7,184.7,210.681,12.33191413
pool_wStd8,189.81,171.6185,10.59996446
pool_wStd8,163.125,171.6185,4.949058522
pool_wStd9,161.612,152.0875,6.262513356
pool_wStd9,154.292,152.0875,1.449494534
pool_Neat,134.935,134.935,5.227159148
pool_Neat,130.177,130.177,0.968370031
